student_id,genre,vocabulary_and_language_complexity,sentence_structure,themes_and_content,overall,question_difficulty,question_type,exam_hour,attention_level,student_age,student_grade,time_bound,correctness_ratio_by_student
15,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.571658615
16,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.438461538
17,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.608264463
19,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.318181818
20,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.498896247
22,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.604774536
25,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.573426573
34,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.598802395
35,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.26
36,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.35
37,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.46
38,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.28
39,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.383333333
40,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.4
44,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,7,3,in_time_bound,0.609756098
53,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.317460317
54,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.333333333
55,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.504132231
56,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.342592593
57,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.222222222
58,5,Moderate,Moderate,Moderate,Moderate,4,2,14,2,10,5,in_time_bound,0.66
59,5,Moderate,Moderate,Moderate,Moderate,4,2,14,2,9,4,in_time_bound,0.588235294
60,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.48
61,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.475
62,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.619047619
63,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.26984127
1,5,Moderate,Moderate,Moderate,Moderate,3,2,14,2,10,5,in_time_bound,0.549883991
1,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.549883991
1,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,8,3,in_time_bound,0.549883991
7,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.349206349
11,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.552763819
12,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.557291667
15,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.571658615
16,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.438461538
17,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.608264463
19,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.318181818
20,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.498896247
22,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.604774536
25,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.573426573
34,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.598802395
35,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.26
36,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.35
37,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.46
38,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.28
39,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.383333333
40,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.4
44,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,7,3,in_time_bound,0.609756098
53,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.317460317
54,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.333333333
55,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.504132231
56,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.342592593
57,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.222222222
58,5,Moderate,Moderate,Moderate,Moderate,3,2,14,2,10,5,in_time_bound,0.66
59,5,Moderate,Moderate,Moderate,Moderate,3,2,14,2,9,4,in_time_bound,0.588235294
60,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,9,4,in_time_bound,0.48
61,5,Moderate,Moderate,Moderate,Moderate,3,2,3,8,10,5,in_time_bound,0.475
62,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.619047619
63,5,Moderate,Moderate,Moderate,Moderate,3,2,16,8,10,5,in_time_bound,0.26984127
1,5,Moderate,Moderate,Moderate,Moderate,4,0,14,2,10,5,in_time_bound,0.549883991
1,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.549883991
1,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,8,3,in_time_bound,0.549883991
7,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.349206349
11,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.552763819
12,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.557291667
15,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.571658615
16,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.438461538
17,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.608264463
19,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.318181818
20,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.498896247
22,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.604774536
25,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.573426573
34,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.598802395
35,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.26
36,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.35
37,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.46
38,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.28
39,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.383333333
40,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.4
44,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,7,3,in_time_bound,0.609756098
53,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.317460317
54,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.333333333
55,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.504132231
56,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.342592593
57,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.222222222
58,5,Moderate,Moderate,Moderate,Moderate,4,0,14,2,10,5,in_time_bound,0.66
59,5,Moderate,Moderate,Moderate,Moderate,4,0,14,2,9,4,in_time_bound,0.588235294
60,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,9,4,in_time_bound,0.48
61,5,Moderate,Moderate,Moderate,Moderate,4,0,3,8,10,5,in_time_bound,0.475
62,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.619047619
63,5,Moderate,Moderate,Moderate,Moderate,4,0,16,8,10,5,in_time_bound,0.26984127
1,5,Moderate,Moderate,Moderate,Moderate,4,2,14,2,10,5,in_time_bound,0.549883991
1,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.549883991
1,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,8,3,in_time_bound,0.549883991
7,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.349206349
11,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.552763819
12,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.557291667
15,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.571658615
16,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.438461538
17,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.608264463
19,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.318181818
20,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.498896247
22,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.604774536
25,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.573426573
34,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.598802395
35,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.26
36,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.35
37,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.46
38,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.28
39,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.383333333
40,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,10,5,in_time_bound,0.4
44,5,Moderate,Moderate,Moderate,Moderate,4,2,3,8,7,3,in_time_bound,0.609756098
53,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.317460317
54,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.333333333
55,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.504132231
56,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.342592593
57,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,10,5,in_time_bound,0.222222222
58,5,Moderate,Moderate,Moderate,Moderate,4,2,14,2,10,5,in_time_bound,0.66
59,5,Moderate,Moderate,Moderate,Moderate,4,2,14,2,9,4,in_time_bound,0.588235294
60,5,Moderate,Moderate,Moderate,Moderate,4,2,16,8,9,4,in_time_bound,0.48
